name,use,websites,hosts,first_party,third_party,persistent,life_span,session
pref,Targeting/Advertising,53037,1289,1340,71329,71023,79302,1647
akavpau_ppsd,Functionality,1185,1,1,1721,0,0,1722
ts,Functionality,10641,91,99,11528,11524,50285,103
x-pp-s,Functionality,618,1,1,654,0,0,655
tsrce,Functionality,879,1,1,930,931,750790,0
lang,Functionality,26799,2358,2762,53039,3719,328722,52082
_fbp,Targeting/Advertising,36186,28737,66271,7226,73442,14556,55
_mkto_trk,Performance,4019,2651,3936,1652,4697,6351,891
_gid,Performance,88880,84822,105266,32892,138102,41196,56
_ga,Performance,90363,86347,117297,35167,149652,36056,2812
_uetsid,Targeting/Advertising,6066,5152,6451,878,7313,502735,16
_gcl_au,Targeting/Advertising,14672,11557,14811,1571,16360,17914,22
__cfduid,Strictly Necessary,72480,33720,23607,166135,189708,229501,34
__gads,Targeting/Advertising,10314,7435,9464,4429,13874,169808,19
s_vi,Performance,17488,3906,4967,18613,23535,280686,45
s_fid,Performance,3740,2579,7328,764,8055,10930,37
s_cc,Performance,13864,9408,15488,3685,3673,2843601,15500
mbox,Performance,6300,4396,8080,1977,9710,20680,347
liveagent_vc,Functionality,1150,1312,1400,1557,2957,21581,0
liveagent_oref,Functionality,1141,1209,1398,815,2213,30280,0
_gat,Performance,44861,36981,42814,14601,57389,2787908,26
_gat_,Targeting/Advertising,28475,25017,33455,5306,38746,722514,15
usprivacy,Strictly Necessary,484,307,379,516,735,5177,160
utag_main,Performance,3504,2401,3465,734,4189,19062,10
usy46gabsosd,Performance,257,158,268,28,21,50369,275
sid,Strictly Necessary,95104,5489,8471,120099,114821,335051,13750
m-b,Functionality,590,2,1,593,594,3343,0
session_token,Strictly Necessary,92,91,90,4,88,7189,6
s_sess,Performance,3086,2070,2933,697,267,2333103,3363
s_pers,Performance,3156,1891,2610,1356,3952,3398,14
__cf_bm,Strictly Necessary,3843,1305,951,4390,5341,216469,0
csrftoken,Strictly Necessary,5650,1587,1657,10127,11278,1842529,506
sp_ab,Functionality,855,1,6,851,857,29,0
sp_landing,Functionality,1294,4,9,1844,1852,1,1
sp_t,Functionality,1327,3,7,1326,1333,60,0
__utmb,Performance,68057,62526,68265,26340,93538,8165,1067
__utmz,Performance,69645,63510,69612,40515,108405,686,1722
__utma,Performance,84856,63289,69348,71518,139221,1156,1645
__utmt,Performance,15620,13049,15868,5140,20993,1233897,15
__utmc,Performance,67079,62694,68212,23286,816,647979,90682
s_pv,Performance,965,710,921,117,1038,53565,0
_parsely_visitor,Functionality,843,604,724,182,902,422,4
_parsely_session,Functionality,829,581,701,197,894,1,4
__cfruid,Strictly Necessary,3613,3480,2390,3347,0,0,5737
kampyle_userid,Functionality,490,484,528,346,874,363,0
criteo,Targeting/Advertising,2408,40,134,3725,3825,13432,34
bblastactivity,Functionality,1631,1472,1520,363,1866,373,17
bbsessionhash,Functionality,1532,1446,1446,309,37,559,1718
uuid,Targeting/Advertising,22188,802,2475,42862,40323,229959,5014
bf_visit,Targeting/Advertising,76,43,75,2,77,10000,0
fly_geo,Targeting/Advertising,93,11,22,82,83,116599,21
_csrf_token,Strictly Necessary,146,100,108,63,15,194580,156
__auc,Targeting/Advertising,1773,465,507,1398,1905,2068,0
__asc,Targeting/Advertising,1746,464,507,1367,1874,485794,0
rxvt,Performance,1871,1572,2096,604,264,2914768,2436
s_dfa,Performance,528,307,511,68,557,1,22
browserid,Functionality,1454,39,204,1428,1628,36138,4
eupubconsent,Strictly Necessary,1021,884,1072,83,1155,23221,0
uid,Performance,61085,2522,2609,136415,136706,201492,2318
_mcid,Strictly Necessary,507,4,9,505,514,1937655,0
_cs_n,Targeting/Advertising,402,324,424,13,94,0,343
ctm,Strictly Necessary,294,173,266,48,306,10141,8
aam_uuid,Targeting/Advertising,3064,2989,5242,1625,6864,53685,3
s_lv_s,Performance,1330,1028,1288,243,1508,813488,23
s_lv,Performance,1723,1362,1675,445,2109,32054,11
visitor_id,Targeting/Advertising,2763,3392,4215,4633,7923,56002,925
s_ppv,Performance,5108,3690,6852,1987,3515,1635388,5324
s_ivc,Performance,457,425,471,17,488,1,0
language,Functionality,4557,3297,3704,2360,3407,376322,2657
jsessionid,Strictly Necessary,44663,24372,82368,39509,2009,512693,119868
atuserid,Performance,304,271,413,409,822,406,0
ckns_policy_exp,Functionality,41,2,7,38,45,391,0
ckns_orb_fig_cache,Functionality,40,2,5,46,51,4,0
ckns_policy,Functionality,68,4,11,62,73,345,0
_chorus_geoip_continent,Targeting/Advertising,54,43,40,24,64,76706,0
s_visit,Performance,568,378,599,85,668,2057541,16
s_ppvl,Performance,2950,2258,4758,1420,3098,2828876,3080
s_invisit,Performance,2748,2047,2674,463,3112,1192475,25
s_vnum,Performance,2835,2057,2660,673,3304,18423,29
has_js,Functionality,7860,8283,8568,998,415,262816,9151
s_nr,Performance,3518,2176,3253,999,4178,12709,74
ss,Targeting/Advertising,3095,87,208,3200,2313,7884,1095
_scid,Targeting/Advertising,1862,1731,2224,569,2790,392,3
clientuuid,Targeting/Advertising,1,2,16,0,0,0,16
ci_session,Strictly Necessary,1941,2330,1369,1553,2802,137774,120
ajs_anonymous_id,Functionality,2576,1562,2232,808,2816,2557,224
_sp_,Functionality,2107,2134,2522,1266,3454,52293,334
_pinterest_sess,Functionality,4488,16,16,4858,4873,204182,1
sp,Targeting/Advertising,3567,236,18663,4536,22711,67534,488
ab,Targeting/Advertising,9975,186,269,12462,10634,58997,2097
ssid,Targeting/Advertising,47737,606,912,70481,69547,523528,1846
wordpress_google_apps_login,Functionality,205,203,223,17,14,167,226
amp-access,Strictly Necessary,32,18,32,1,33,358,0
__qca,Targeting/Advertising,16436,7747,8736,15255,23930,3591,61
dwsid,Strictly Necessary,861,858,1015,206,0,0,1221
dwanonymous_,Targeting/Advertising,1019,1019,1113,237,1346,51350,4
__cq_dnt,Functionality,1013,1005,1018,229,8,90,1239
cqcid,Performance,899,885,915,205,7,2914809,1113
dwac_XXXXX,Targeting/Advertising,686,673,675,70,8,729,737
nid,Targeting/Advertising,39778,458,472,43395,43773,100726,94
s_nr30,Performance,484,461,496,26,519,29,3
tp,Performance,1219,517,974,992,1014,1179260,952
__utmt_,Performance,303,171,197,129,326,1,0
__utmv,Performance,21527,9088,10336,16075,26281,464,130
__stripe_sid,Functionality,1587,1417,1383,351,1734,832738,0
__stripe_mid,Functionality,1590,1416,1385,353,1738,7279,0
